Size,Threads,Reduction_Time,Manual_Time,Speedup_Reduction,Efficiency_Reduction,Speedup_Manual,Efficiency_Manual
100000,1,10.529,1.958,1.000,1.000,1.000,1.000
100000,2,1.181,0.956,8.913,4.457,2.048,1.024
100000,4,0.879,0.845,11.980,2.995,2.318,0.579
100000,8,1.029,0.492,10.236,1.279,3.979,0.497
100000,16,1.535,0.468,6.861,0.429,4.182,0.261
250000,1,3.992,6.758,1.000,1.000,1.000,1.000
250000,2,2.198,3.669,1.816,0.908,1.842,0.921
250000,4,1.232,2.599,3.240,0.810,2.600,0.650
250000,8,0.939,1.075,4.251,0.531,6.286,0.786
250000,16,0.903,1.121,4.421,0.276,6.027,0.377
500000,1,7.928,13.554,1.000,1.000,1.000,1.000
500000,2,4.152,6.870,1.910,0.955,1.973,0.986
500000,4,2.478,4.107,3.199,0.800,3.300,0.825
500000,8,1.460,2.357,5.431,0.679,5.751,0.719
500000,16,1.321,1.977,5.999,0.375,6.857,0.429
1000000,1,11.048,17.993,1.000,1.000,1.000,1.000
1000000,2,5.451,10.186,2.027,1.013,1.766,0.883
1000000,4,4.852,8.495,2.277,0.569,2.118,0.530
1000000,8,2.473,4.114,4.467,0.558,4.374,0.547
1000000,16,3.572,4.538,3.093,0.193,3.965,0.248
2500000,1,27.905,48.708,1.000,1.000,1.000,1.000
2500000,2,12.977,36.356,2.150,1.075,1.340,0.670
2500000,4,11.350,20.475,2.459,0.615,2.379,0.595
2500000,8,7.247,11.743,3.851,0.481,4.148,0.518
2500000,16,8.472,12.666,3.294,0.206,3.845,0.240
5000000,1,57.464,105.048,1.000,1.000,1.000,1.000
5000000,2,38.269,55.776,1.502,0.751,1.883,0.942
5000000,4,24.038,40.168,2.391,0.598,2.615,0.654
5000000,8,17.224,22.362,3.336,0.417,4.698,0.587
5000000,16,8.577,11.821,6.700,0.419,8.887,0.555
