Size,Threads,Reduction_Time,Manual_Time,Speedup_Reduction,Efficiency_Reduction,Speedup_Manual,Efficiency_Manual
100000,1,1.694,2.886,1.000,1.000,1.000,1.000
100000,2,1.005,1.497,1.685,0.842,1.929,0.964
100000,4,0.876,0.941,1.934,0.484,3.068,0.767
100000,8,0.543,0.619,3.118,0.390,4.665,0.583
100000,16,0.826,0.587,2.052,0.128,4.913,0.307
250000,1,3.964,6.806,1.000,1.000,1.000,1.000
250000,2,2.093,3.392,1.894,0.947,2.006,1.003
250000,4,1.504,2.194,2.635,0.659,3.102,0.775
250000,8,1.012,1.207,3.916,0.489,5.637,0.705
250000,16,0.796,1.102,4.982,0.311,6.175,0.386
500000,1,8.331,13.761,1.000,1.000,1.000,1.000
500000,2,4.122,6.889,2.021,1.010,1.998,0.999
500000,4,2.481,4.126,3.357,0.839,3.335,0.834
500000,8,1.265,2.066,6.587,0.823,6.661,0.833
500000,16,1.836,2.697,4.538,0.284,5.102,0.319
1000000,1,16.631,26.988,1.000,1.000,1.000,1.000
1000000,2,8.219,14.222,2.023,1.012,1.898,0.949
1000000,4,4.598,7.021,3.617,0.904,3.844,0.961
1000000,8,2.905,4.217,5.725,0.716,6.400,0.800
1000000,16,3.190,4.176,5.213,0.326,6.462,0.404
2500000,1,44.083,68.908,1.000,1.000,1.000,1.000
2500000,2,20.740,33.707,2.126,1.063,2.044,1.022
2500000,4,11.769,20.425,3.746,0.936,3.374,0.843
2500000,8,5.908,10.557,7.462,0.933,6.527,0.816
2500000,16,5.617,9.371,7.848,0.491,7.353,0.460
5000000,1,81.941,129.114,1.000,1.000,1.000,1.000
5000000,2,26.362,47.266,3.108,1.554,2.732,1.366
5000000,4,22.155,41.032,3.699,0.925,3.147,0.787
5000000,8,14.573,21.555,5.623,0.703,5.990,0.749
5000000,16,11.949,19.329,6.858,0.429,6.680,0.417
