Threads,Size,Time(ms),Speedup,Efficiency(%)
1,500000,4.251,1.000,100.000
2,500000,2.139,1.988,99.377
4,500000,1.241,3.425,85.624
8,500000,1.124,3.782,47.275
16,500000,0.765,5.558,34.736
1,1000000,8.586,1.000,100.000
2,1000000,4.328,1.984,99.184
4,1000000,2.232,3.847,96.183
8,1000000,1.572,5.460,68.251
16,1000000,1.248,6.880,43.000
1,5000000,41.941,1.000,100.000
2,5000000,22.238,1.886,94.298
4,5000000,11.258,3.726,93.139
8,5000000,9.083,4.617,57.717
16,5000000,6.805,6.163,38.521
1,10000000,83.610,1.000,100.000
2,10000000,43.554,1.920,95.985
4,10000000,23.203,3.603,90.087
8,10000000,17.155,4.874,60.924
16,10000000,13.322,6.276,39.226
