Threads,Intervals,Time(ms),Result,Speedup,Efficiency(%)
1,1000000,13.826,1.5707963268e+00,1.000,100.000
2,1000000,7.717,1.5707963268e+00,1.792,89.583
4,1000000,5.250,1.5707963268e+00,2.634,65.841
8,1000000,3.229,1.5707963268e+00,4.281,53.517
16,1000000,4.166,1.5707963268e+00,3.319,20.743
1,5000000,65.931,1.5707963268e+00,1.000,100.000
2,5000000,40.889,1.5707963268e+00,1.612,80.621
4,5000000,22.830,1.5707963268e+00,2.888,72.198
8,5000000,15.956,1.5707963268e+00,4.132,51.650
16,5000000,14.219,1.5707963268e+00,4.637,28.980
1,10000000,134.810,1.5707963268e+00,1.000,100.000
2,10000000,79.429,1.5707963268e+00,1.697,84.862
4,10000000,44.616,1.5707963268e+00,3.022,75.538
8,10000000,25.878,1.5707963268e+00,5.209,65.118
16,10000000,21.298,1.5707963268e+00,6.330,39.560
1,50000000,664.249,1.5707963268e+00,1.000,100.000
2,50000000,396.465,1.5707963268e+00,1.675,83.771
4,50000000,237.833,1.5707963268e+00,2.793,69.823
8,50000000,159.470,1.5707963268e+00,4.165,52.067
16,50000000,107.229,1.5707963268e+00,6.195,38.717
