Threads,Size,Time(ms),Result,Speedup,Efficiency(%)
1,1000,9.355,46,1.000,100.000
2,1000,4.369,46,2.141,107.053
4,1000,2.580,46,3.626,90.642
8,1000,1.351,46,6.923,86.534
16,1000,1.816,46,5.151,32.195
1,2000,32.118,27,1.000,100.000
2,2000,15.799,27,2.033,101.644
4,2000,8.528,27,3.766,94.153
8,2000,7.522,27,4.270,53.370
16,2000,5.170,27,6.212,38.825
1,5000,192.569,9,1.000,100.000
2,5000,99.232,9,1.941,97.030
4,5000,52.623,9,3.659,91.486
8,5000,37.821,9,5.092,63.645
16,5000,40.660,9,4.736,29.601
1,10000,761.128,5,1.000,100.000
2,10000,410.646,5,1.853,92.674
4,10000,221.741,5,3.433,85.813
8,10000,144.268,5,5.276,65.948
16,10000,124.962,5,6.091,38.068
