Matrix_Type,Size,Threads,Strategy,Time(ms),Result,Speedup,Efficiency(%)
diagonal,1000,1,static,15.528,100,1.000,100.000
diagonal,1000,1,dynamic,14.915,100,1.000,100.000
diagonal,1000,1,guided,15.790,100,1.000,100.000
diagonal,1000,2,static,8.094,100,1.951,97.538
diagonal,1000,2,dynamic,8.922,100,1.770,88.485
diagonal,1000,2,guided,7.529,100,2.097,104.861
diagonal,1000,4,static,4.360,100,3.622,90.546
diagonal,1000,4,dynamic,4.310,100,3.664,91.595
diagonal,1000,4,guided,4.066,100,3.884,97.090
diagonal,1000,8,static,3.687,100,4.283,53.534
diagonal,1000,8,dynamic,3.363,100,4.695,58.686
diagonal,1000,8,guided,3.262,100,4.841,60.510
diagonal,5000,1,static,377.199,100,1.000,100.000
diagonal,5000,1,dynamic,371.538,100,1.000,100.000
diagonal,5000,1,guided,365.800,100,1.000,100.000
diagonal,5000,2,static,197.598,100,1.851,92.562
diagonal,5000,2,dynamic,191.706,100,1.908,95.407
diagonal,5000,2,guided,200.722,100,1.822,91.121
diagonal,5000,4,static,107.125,100,3.415,85.368
diagonal,5000,4,dynamic,106.793,100,3.425,85.633
diagonal,5000,4,guided,101.529,100,3.603,90.072
diagonal,5000,8,static,75.899,100,4.820,60.245
diagonal,5000,8,dynamic,67.069,100,5.454,68.176
diagonal,5000,8,guided,64.610,100,5.662,70.771
triangular,1000,1,static,23.538,43,1.000,100.000
triangular,1000,1,dynamic,20.489,43,1.000,100.000
triangular,1000,1,guided,21.424,43,1.000,100.000
triangular,1000,2,static,10.973,43,1.952,97.623
triangular,1000,2,dynamic,11.521,43,1.860,92.980
triangular,1000,2,guided,11.148,43,1.922,96.095
triangular,1000,4,static,5.761,43,3.719,92.968
triangular,1000,4,dynamic,6.385,43,3.356,83.889
triangular,1000,4,guided,5.563,43,3.851,96.279
triangular,1000,8,static,4.872,43,4.397,54.966
triangular,1000,8,dynamic,3.619,43,5.920,74.003
triangular,1000,8,guided,3.362,43,6.373,79.667
triangular,5000,1,static,473.738,54,1.000,100.000
triangular,5000,1,dynamic,481.206,54,1.000,100.000
triangular,5000,1,guided,473.318,54,1.000,100.000
triangular,5000,2,static,251.143,54,1.885,94.233
triangular,5000,2,dynamic,261.217,54,1.812,90.599
triangular,5000,2,guided,249.216,54,1.899,94.961
triangular,5000,4,static,134.706,54,3.514,87.843
triangular,5000,4,dynamic,143.133,54,3.307,82.671
triangular,5000,4,guided,149.513,54,3.166,79.143
triangular,5000,8,static,107.110,54,4.419,55.237
triangular,5000,8,dynamic,84.903,54,5.575,69.685
triangular,5000,8,guided,88.354,54,5.357,66.963
banded,1000,1,static,19.401,73,1.000,100.000
banded,1000,1,dynamic,20.254,73,1.000,100.000
banded,1000,1,guided,17.067,73,1.000,100.000
banded,1000,2,static,8.396,73,2.033,101.640
banded,1000,2,dynamic,9.201,73,1.855,92.745
banded,1000,2,guided,8.518,73,2.004,100.180
banded,1000,4,static,4.817,73,3.543,88.587
banded,1000,4,dynamic,5.095,73,3.350,83.749
banded,1000,4,guided,4.865,73,3.508,87.710
banded,1000,8,static,4.271,73,3.997,49.957
banded,1000,8,dynamic,3.296,73,5.179,64.737
banded,1000,8,guided,3.572,73,4.778,59.723
banded,5000,1,static,393.394,85,1.000,100.000
banded,5000,1,dynamic,382.138,85,1.000,100.000
banded,5000,1,guided,373.425,85,1.000,100.000
banded,5000,2,static,203.196,85,1.838,91.888
banded,5000,2,dynamic,203.740,85,1.833,91.643
banded,5000,2,guided,200.723,85,1.860,93.020
banded,5000,4,static,118.709,85,3.146,78.643
banded,5000,4,dynamic,114.987,85,3.248,81.189
banded,5000,4,guided,114.538,85,3.260,81.507
banded,5000,8,static,80.636,85,4.631,57.888
banded,5000,8,dynamic,68.025,85,5.490,68.619
banded,5000,8,guided,66.527,85,5.613,70.164
