Schedule_Type,Vector_Size,Iterations,Threads,Time(ms),Speedup,Efficiency(%)
static,1000,200,2,6.496,2.012,100.601
dynamic,1000,200,2,6.630,1.977,98.842
guided,1000,200,2,6.934,2.025,101.261
static,1000,200,4,3.551,3.681,92.018
dynamic,1000,200,4,3.656,3.584,89.608
guided,1000,200,4,3.924,3.578,89.458
static,1000,200,8,2.491,5.246,65.574
dynamic,1000,200,8,2.553,5.133,64.161
guided,1000,200,8,2.377,5.907,73.836
static,1000,200,16,2.247,5.818,36.360
dynamic,1000,200,16,2.736,4.790,29.939
guided,1000,200,16,2.794,5.027,31.418
static,5000,200,2,23.955,1.776,88.795
dynamic,5000,200,2,24.268,1.671,83.541
guided,5000,200,2,21.804,1.993,99.632
static,5000,200,4,11.714,3.632,90.790
dynamic,5000,200,4,12.392,3.272,81.798
guided,5000,200,4,12.356,3.516,87.911
static,5000,200,8,7.290,5.836,72.948
dynamic,5000,200,8,8.013,5.060,63.252
guided,5000,200,8,8.213,5.290,66.128
static,5000,200,16,7.602,5.596,34.974
dynamic,5000,200,16,9.677,4.190,26.188
guided,5000,200,16,9.449,4.598,28.737
static,10000,200,2,42.247,1.829,91.454
dynamic,10000,200,2,40.687,2.127,106.355
guided,10000,200,2,40.279,1.889,94.439
static,10000,200,4,21.803,3.544,88.603
dynamic,10000,200,4,23.486,3.685,92.125
guided,10000,200,4,22.868,3.327,83.172
static,10000,200,8,15.329,5.041,63.014
dynamic,10000,200,8,15.506,5.581,69.769
guided,10000,200,8,15.346,4.958,61.970
static,10000,200,16,14.266,5.417,33.855
dynamic,10000,200,16,17.593,4.919,30.745
guided,10000,200,16,17.438,4.363,27.267
