Pairs,Vector_Size,Threads,Time(sec),Speedup,Efficiency
100,5000,1,0.1162,1.0000,1.0000
100,5000,2,0.0273,4.2534,2.1267
100,5000,4,0.0220,5.2729,1.3182
100,5000,8,0.0202,5.7441,0.7180
100,10000,1,0.0490,1.0000,1.0000
100,10000,2,0.0414,1.1858,0.5929
100,10000,4,0.0374,1.3121,0.3280
100,10000,8,0.0325,1.5069,0.1884
100,100000,1,0.5670,1.0000,1.0000
100,100000,2,0.4133,1.3720,0.6860
100,100000,4,0.3473,1.6328,0.4082
100,100000,8,0.2994,1.8941,0.2368
100,500000,1,1.9940,1.0000,1.0000
100,500000,2,2.1766,0.9161,0.4580
100,500000,4,2.8048,0.7109,0.1777
100,500000,8,2.7628,0.7217,0.0902
100,1000000,1,5.5477,1.0000,1.0000
100,1000000,2,4.9179,1.1281,0.5640
100,1000000,4,5.0408,1.1006,0.2751
100,1000000,8,6.0006,0.9245,0.1156
500,5000,1,0.1185,1.0000,1.0000
500,5000,2,0.0931,1.2725,0.6363
500,5000,4,0.0918,1.2900,0.3225
500,5000,8,0.0945,1.2534,0.1567
500,10000,1,0.1777,1.0000,1.0000
500,10000,2,0.1576,1.1273,0.5637
500,10000,4,0.1533,1.1587,0.2897
500,10000,8,0.1553,1.1439,0.1430
500,100000,1,1.9094,1.0000,1.0000
500,100000,2,1.9771,0.9657,0.4829
500,100000,4,2.1725,0.8789,0.2197
500,100000,8,2.1977,0.8688,0.1086
500,500000,1,15.2424,1.0000,1.0000
500,500000,2,18.4015,0.8283,0.4142
500,500000,4,18.5826,0.8203,0.2051
500,500000,8,14.2557,1.0692,0.1337
500,1000000,1,25.5691,1.0000,1.0000
500,1000000,2,34.6493,0.7379,0.3690
500,1000000,4,41.4786,0.6164,0.1541
500,1000000,8,41.7543,0.6124,0.0765
1000,5000,1,0.2839,1.0000,1.0000
1000,5000,2,0.2170,1.3082,0.6541
1000,5000,4,0.2100,1.3523,0.3381
1000,5000,8,0.2053,1.3832,0.1729
1000,10000,1,0.5316,1.0000,1.0000
1000,10000,2,0.3974,1.3378,0.6689
1000,10000,4,0.3876,1.3715,0.3429
1000,10000,8,0.3913,1.3588,0.1699
1000,100000,1,5.7707,1.0000,1.0000
1000,100000,2,4.2434,1.3599,0.6800
1000,100000,4,4.3425,1.3289,0.3322
1000,100000,8,4.3600,1.3236,0.1654
1000,500000,1,37.9675,1.0000,1.0000
1000,500000,2,43.7318,0.8682,0.4341
1000,500000,4,43.2609,0.8776,0.2194
1000,500000,8,42.6878,0.8894,0.1112
1000,1000000,1,73.6952,1.0000,1.0000
1000,1000000,2,86.4448,0.8525,0.4263
1000,1000000,4,85.5201,0.8617,0.2154
1000,1000000,8,86.1137,0.8558,0.1070
